Market,BarMinutes,RunType,StartTime,EndTime,Bars,Periods,L,S,NetProfit,NetMaxDD,NetRoA,NetAnnReturnPct,NetAnnVolPct,NetSharpe,ClosedTrades
TY,5,walkforward_oos,1987-06-08 08:05:00,2026-03-05 13:00:00,781200,155,1440,0.01,68335.51562499988,15864.70312499997,4.307393279696181,1.4512379900802117,4.63742240551902,0.3129406517622992,395
TY,5,full_sample,1983-01-03 08:05:00,2026-04-10 14:00:00,863887,1,1440,0.01,87864.7187499995,17186.46875000006,5.112435837059269,1.5429081207047188,3.7954996728698087,0.4065098810924448,724
TY,5,reference_in_sample,12/07/1983 08:45,06/26/2013 14:00,585313,1,2240,0.04,89464.9375,18903.25,4.732781,,,,154
TY,5,reference_out_of_sample,06/27/2013 07:25,04/10/2026 14:00,261574,1,2240,0.04,4392.625,33128.5,0.132594,,,,71
TY,5,reference_full,01/03/1983 08:05,04/10/2026 14:00,863887,1,2240,0.04,93513.8125,33128.5,2.82276,,,,225
BTC,5,walkforward_oos,2023-08-22 09:05:00,2026-02-12 22:30:00,176295,7,276,0.01,536396.9999999995,131729.25,4.071965793474111,112.70110155745184,37.48399809931252,3.0066456960875483,1094
BTC,5,full_sample,2017-12-18 00:35:00,2026-04-10 16:00:00,590436,1,276,0.01,1737781.25,131729.25,13.192068200494576,50.28499195166345,11.113635621107482,4.524621255006785,5016
BTC,5,reference_in_sample,03/15/2018 23:15,10/12/2023 23:55,396339,1,552,0.01,744673.75,26967.25,27.614004,,,,2325
BTC,5,reference_out_of_sample,10/13/2023 00:00,04/10/2026 16:00,177097,1,552,0.01,449022.5,103823.5,4.324864,,,,936
BTC,5,reference_full,12/18/2017 00:35,04/10/2026 16:00,590436,1,552,0.01,1193696.25,103823.5,11.497361,,,,3261
