Market,RunType,StartTime,EndTime,Bars,Periods,L,S,GrossProfit,NetProfit,GrossMaxDD,NetMaxDD,GrossRoA,NetRoA,TotalCost,TurnoverContracts,TurnoverNotional,ClosedTrades,GrossStDev,NetStDev,TradeUnits,BarsBack,RoundTurnCost,CostNote
TY,walkforward_oos,06/29/1987 12:40,03/18/2026 11:15,771120,153,1440,0.010000,56195.468750,47618.656250,27903.125000,30234.593750,2.013949,1.574973,8576.812500,921.000000,105427976.718750,403,41.853590,41.871299,460.500000,0,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,full_sample,01/03/1983 08:05,04/10/2026 13:55,853091,1,1440,0.010000,98526.093750,85134.718750,13412.656250,15273.125000,7.345756,5.574152,13391.375000,1438.000000,157958772.343750,719,37.466375,37.494149,719.000000,0,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_in_sample,12/12/1983 10:40,06/26/2013 13:55,577712,1,1280,0.010000,70995.312500,60509.437500,11942.031250,12333.156250,5.944995,4.906241,10485.875000,1126.000000,120182381.875000,563,39.395439,39.422390,563.000000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_out_of_sample,06/27/2013 07:25,04/10/2026 13:55,258379,1,1280,0.010000,35636.875000,32191.250000,12179.062500,13650.437500,2.926077,2.358258,3445.625000,370.000000,45173003.125000,185,36.415791,36.447895,185.000000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_full,01/03/1983 08:05,04/10/2026 13:55,853091,1,1280,0.010000,106632.187500,92700.687500,12179.062500,13650.437500,8.755369,6.791041,13931.500000,1496.000000,165355385.000000,748,38.113716,38.141870,748.000000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
BTC,walkforward_oos,11/19/2023 21:05,02/08/2026 23:15,157680,6,288,0.010000,515535.500000,490398.000000,136433.750000,138408.750000,3.778651,3.543114,25137.500000,2011.000000,807361526.000000,1005,396.870138,396.975305,1005.500000,0,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract."
BTC,full_sample,12/18/2017 00:35,04/10/2026 16:00,590436,1,288,0.010000,1849382.000000,1727344.500000,136433.750000,138408.750000,13.555165,12.480024,122037.500000,9763.000000,1800226862.000000,4881,268.113409,268.199368,4881.500000,0,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract."
BTC,reference_in_sample,03/15/2018 23:15,10/12/2023 23:55,396339,1,576,0.010000,774468.000000,717618.000000,23666.250000,24366.250000,32.724576,29.451311,56850.000000,4548.000000,530178631.000000,2274,146.760472,146.807257,2274.000000,17001,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract."
BTC,reference_out_of_sample,10/13/2023 00:00,04/10/2026 16:00,177097,1,576,0.010000,444529.750000,421692.250000,98485.250000,99860.250000,4.513668,4.222824,22837.500000,1827.000000,711581003.750000,913,345.126672,345.220093,913.500000,17001,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract."
BTC,reference_full,12/18/2017 00:35,04/10/2026 16:00,590436,1,576,0.010000,1218997.750000,1139310.250000,98485.250000,99860.250000,12.377465,11.409047,79687.500000,6375.000000,1241759634.750000,3187,224.020258,224.083974,3187.500000,17001,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract."
